,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
0,74,7,1135895,1615414715000,1114295,0,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
1,92,7,351387,1607202683000,329787,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
2,157,7,226899,1613415470000,205299,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
3,8,6,118422,1615221224000,96822,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
4,40,7,113282,1607889096000,91682,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
5,81,6,92960,1606604864000,71360,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
6,238,6,89338,1614213376000,67738,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
7,25,6,72754,1615142171000,51154,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
8,236,7,57897,1590302118000,36297,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
9,114,5,57280,1605447743000,35680,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
10,43,6,53697,1611607805000,32097,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
11,76,7,52265,1615134503000,30665,0,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
12,98,5,51977,1604693341000,30377,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
13,84,6,51603,1604432828000,30003,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
14,90,5,44871,1607641113000,23271,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
15,39,6,40525,1596205662000,18925,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
16,432,5,39182,1615132542000,17582,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
17,42,5,36528,1610470567000,14928,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
18,37,6,35774,1607881711000,14174,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
19,41,5,34941,1585795997000,13341,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
20,117,5,34853,1606873995000,13253,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
21,16,5,34718,1614305256000,13118,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
22,141,5,34589,1613325889000,12989,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
23,55,5,33638,1606880692000,12038,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
24,235,6,32977,1615137809000,11377,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
25,91,5,32333,1613167903000,10733,0,True,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
26,121,5,31304,1605538381000,9704,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
27,75,6,31024,1606596737000,9424,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
28,15,5,29368,1615267328000,7768,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
29,11,6,28529,1596421368000,6929,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
30,14,5,27413,1572995854000,5813,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
31,412,5,26750,1615131135000,5150,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
32,30,5,26505,1613317045000,4905,0,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
33,33,5,26333,1587481258000,4733,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
34,516,5,26295,1581957154000,4695,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
35,107,5,26291,1599844313000,4691,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
36,111,5,25237,1599958578000,3637,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
37,22,5,25214,1613423190000,3614,0,False,1,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
38,164,5,25179,1610925227000,3579,0,False,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
39,17,5,25039,1614301811000,3439,0,True,2,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
40,21,5,24745,1614643946000,3145,0,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
41,126,5,23292,1607659888000,1692,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
42,59,5,22121,1612743829000,521,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
43,38,5,22046,1607835223000,446,0,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
44,57,4,21248,1608931621000,8648,352,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
45,517,4,20982,1589492271000,8382,618,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
46,54,4,20284,1579432382000,7684,1316,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
47,145,4,20178,1606856842000,7578,1422,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
48,29,4,19752,1613059777000,7152,1848,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
49,56,4,19553,1523340277000,6953,2047,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
50,35,4,19195,1612740101000,6595,2405,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
51,85,4,19187,1531078809000,6587,2413,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
52,245,4,18821,1590007347000,6221,2779,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
53,36,4,18446,1613166300000,5846,3154,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
54,105,4,17949,1607830435000,5349,3651,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
55,104,4,17896,1606868393000,5296,3704,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
56,12,4,16245,1572738828000,3645,5355,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
57,24,4,16134,1590039961000,3534,5466,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
58,63,4,15775,1615080247000,3175,5825,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
59,67,4,15534,1607874502000,2934,6066,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
60,131,4,14965,1584450116000,2365,6635,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
61,6,4,14213,1564878449000,1613,7387,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
62,45,4,14066,1602966116000,1466,7534,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
63,202,4,13205,1607133475000,605,8395,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
64,89,4,13019,1586110447000,419,8581,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
65,420,4,12611,1606694006000,11,8989,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
66,51,3,12468,1613422327000,6468,132,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
67,26,3,11741,1579393016000,5741,859,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
68,23,3,11704,1606485851000,5704,896,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
69,31,3,11085,1608997849000,5085,1515,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
70,10,3,10763,1608999571000,4763,1837,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
71,50,3,10750,1593465713000,4750,1850,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
72,34,3,10669,1611359406000,4669,1931,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
73,110,3,10466,1614906064000,4466,2134,True,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
74,9,3,10324,1609001524000,4324,2276,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
75,113,3,10310,1498851335000,4310,2290,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
76,64,3,9963,1586132403000,3963,2637,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
77,106,3,9952,1596485272000,3952,2648,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
78,161,3,9867,1607654789000,3867,2733,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
79,142,3,9655,1607817768000,3655,2945,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
80,3,3,9610,1588513292000,3610,2990,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
81,7,3,9581,1599403791000,3581,3019,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
82,86,3,9441,1589495447000,3441,3159,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
83,143,3,9356,1607658069000,3356,3244,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
84,77,3,9194,1497714928000,3194,3406,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
85,134,3,9118,1615265488000,3118,3482,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
86,96,3,9094,1612571523000,3094,3506,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
87,48,3,9060,1579201515000,3060,3540,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
88,222,3,8670,1611951043000,2670,3930,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
89,27,3,8012,1523592178000,2012,4588,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
90,498,3,7973,1607205245000,1973,4627,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
