index,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,date
0,107,7,656859,1615701854000,635259,0,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
1,60,7,206141,1611512141000,184541,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
2,92,7,127865,1615253191000,106265,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
3,429,7,90770,1583815522000,69170,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
4,51,7,83543,1602784925000,61943,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
5,28,7,67742,1604025411000,46142,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
6,222,6,66141,1592653843000,44541,0,0,1,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
7,64,5,62016,1615251554000,40416,0,0,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
8,8,5,56803,1615699484000,35203,0,1,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
9,145,6,56179,1611892207000,34579,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
10,104,6,52889,1610827463000,31289,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
11,67,5,50397,1614910479000,28797,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
12,236,5,42714,1611514332000,21114,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
13,121,5,40470,1611852531000,18870,0,0,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
14,421,5,39272,1611109884000,17672,0,0,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
15,75,7,38143,1568099085000,16543,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
16,498,6,38142,1611855043000,16542,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
17,35,5,36278,1610936002000,14678,0,1,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
18,81,5,34846,1610395964000,13246,0,0,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
19,76,5,33312,1604614726000,11712,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
20,163,5,29579,1613892612000,7979,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
21,154,5,29556,1602566706000,7956,0,0,2,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
22,119,5,27203,1611857459000,5603,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
23,203,5,26231,1611211673000,4631,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
24,59,5,26090,1591647941000,4490,0,0,1,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
25,5,5,24625,1574121909000,3025,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
26,131,5,23942,1581047251000,2342,0,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
27,18,5,23933,1577768549000,2333,0,0,1,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
28,141,5,23084,1611436772000,1484,0,1,1,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
29,61,4,17481,1610521862000,4881,4119,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
30,38,4,15737,1612031352000,3137,5863,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
31,79,4,15713,1611426753000,3113,5887,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
32,1,4,15518,1602963025000,2918,6082,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
33,103,4,15430,1589690869000,2830,6170,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
34,2,4,15428,1615703959000,2828,6172,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
35,25,4,15283,1585087294000,2683,6317,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
36,15,4,14135,1589157027000,1535,7465,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
37,4,4,13765,1592858940000,1165,7835,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
38,11,4,13112,1610375105000,512,8488,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
39,427,3,12497,1611770439000,6497,103,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
40,102,3,12476,1593036836000,6476,124,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
41,106,3,11883,1605240913000,5883,717,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
42,126,3,11605,1614859236000,5605,995,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
43,412,3,11270,1585290371000,5270,1330,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
44,120,3,11046,1611431590000,5046,1554,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
45,27,3,10642,1611187706000,4642,1958,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
46,875,3,10334,1604196271000,4334,2266,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
47,254,3,10181,1591215679000,4181,2419,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
48,517,3,10030,1602966026000,4030,2570,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
49,113,3,9693,1598150855000,3693,2907,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
50,32,3,9049,1592636522000,3049,3551,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
51,202,3,8763,1611807151000,2763,3837,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
52,127,3,8208,1529865372000,2208,4392,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
53,23,3,8152,1592937951000,2152,4448,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
54,58,3,7761,1610397765000,1761,4839,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
55,10,3,7470,1610983167000,1470,5130,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
56,56,3,7133,1609120375000,1133,5467,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
57,53,3,7104,1593125348000,1104,5496,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
58,157,3,6835,1585289212000,835,5765,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
59,82,3,6525,1591151985000,525,6075,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
60,111,3,6374,1581578178000,374,6226,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
61,89,3,6233,1589702693000,233,6367,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
62,36,3,6195,1611295438000,195,6405,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
63,45,2,5905,1590936255000,4105,95,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
64,21,2,5700,1588563950000,3900,300,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
65,77,2,5518,1586831546000,3718,482,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
66,30,2,5475,1603245332000,3675,525,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
67,9,2,5437,1611862021000,3637,563,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
68,110,2,5416,1582222408000,3616,584,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
69,6,2,5075,1597350643000,3275,925,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
70,29,2,5044,1587865519000,3244,956,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
71,22,2,4924,1597125287000,3124,1076,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
72,555,2,4886,1601535984000,3086,1114,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
73,245,2,4870,1611866541000,3070,1130,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
74,41,2,4722,1592849309000,2922,1278,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
75,43,2,4447,1601533609000,2647,1553,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
76,122,2,3958,1592943968000,2158,2042,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
77,63,2,3899,1589519253000,2099,2101,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
78,17,2,3806,1585175649000,2006,2194,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
79,20,2,3676,1602305727000,1876,2324,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
80,134,2,3531,1585785378000,1731,2469,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
81,74,2,3467,1590865894000,1667,2533,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
82,13,2,3143,1580281400000,1343,2857,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
83,24,2,2655,1610241979000,855,3345,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
84,80,2,2543,1603568229000,743,3457,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
85,84,2,2506,1582842166000,706,3494,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
86,876,2,2447,1603583859000,647,3553,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
87,39,2,2439,1614816605000,639,3561,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
88,91,2,2366,1614814873000,566,3634,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
89,7,2,2363,1602790653000,563,3637,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
90,33,2,2361,1597644532000,561,3639,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
91,164,2,2241,1614732117000,441,3759,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
92,85,2,2088,1610523471000,288,3912,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
93,48,2,1957,1597642098000,157,4043,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
94,246,2,1882,1581990896000,82,4118,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
95,14,2,1819,1592842070000,19,4181,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
96,44,2,1811,1581136668000,11,4189,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
97,136,1,1761,1586935122000,1761,39,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
98,12,1,1740,1581581878000,1740,60,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
99,31,1,1724,1590596347000,1724,76,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
100,238,1,1637,1589511063000,1637,163,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
101,117,1,1550,1581315687000,1550,250,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
102,62,1,1487,1597392347000,1487,313,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
103,105,1,1452,1602901159000,1452,348,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
104,54,1,1396,1591234730000,1396,404,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
105,55,1,1298,1615249748000,1298,502,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
106,150,1,1191,1590599084000,1191,609,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
107,266,1,1174,1592802941000,1174,626,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
108,114,1,1165,1614866654000,1165,635,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
109,523,1,1099,1610985261000,1099,701,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
110,350,1,1066,1589523564000,1066,734,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
111,3,1,1059,1602787193000,1059,741,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
112,98,1,1049,1585188153000,1049,751,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
113,101,1,1034,1593381469000,1034,766,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
114,133,1,969,1614718533000,969,831,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
115,72,1,969,1611864634000,969,831,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
116,201,1,962,1603689068000,962,838,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
117,40,1,891,1582959878000,891,909,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
